event_time,order_id,product_id,category_id,category_code,brand,price,user_id
2020-04-30 15:27:43 UTC,2298817839429058825,2273948223099896738,2268105427528974760,,gtec,1.16,1515915625440946340
2020-04-30 15:27:59 UTC,2298817978956775710,1515966223509118542,2268105428074234292,electronics.telephone,nokia,22.89,1515915625441055531
2020-04-30 15:28:14 UTC,2298818104525848881,1515966223509131518,2268105635507732512,,,4.63,1515915625444238531
2020-04-30 15:28:14 UTC,2298818104525848881,1515966223510211102,2268105438929093274,,tefal,6.23,1515915625444238531
2020-04-30 15:28:14 UTC,2298818104525848881,1515966223509722610,2268105438929093274,,inhouse,23.13,1515915625444238531
2020-04-30 15:29:03 UTC,2298818516725268824,2273948299738218956,2268105392632365766,appliances.environment.fan,ava,17.34,1515915625452807990
2020-04-30 15:29:03 UTC,2298818516725268824,2273948299746607566,2268105392632365766,appliances.environment.fan,ava,6.92,1515915625452807990
2020-04-30 15:33:38 UTC,2298820818802573877,1515966223509259935,2268105430162997728,electronics.audio.headphone,panasonic,3.45,1515915625445719653
2020-04-30 15:36:54 UTC,2298822468086792918,1515966223509089064,2268105428166508982,electronics.smartphone,apple,810.16,1515915625452171462
2020-04-30 15:38:41 UTC,2298823363075769131,1515966223509132014,2268105430162997728,electronics.audio.headphone,plantronics,39.33,1515915625452681471
2020-04-30 15:38:41 UTC,2298823363075769131,1515966223509131652,2268105409938063394,computers.components.memory,transcend,15.02,1515915625452681471
2020-04-30 15:41:35 UTC,2298824819774325699,2273948303211102485,2268105427629638058,,dji,344.88,1515915625448928124
2020-04-30 15:46:38 UTC,2298827363502260389,1515966223509107896,2268105402447037312,appliances.personal.scales,vitek,18.50,1515915625452784351
2020-04-30 15:55:28 UTC,2298831805706404389,1515966223509105137,2268105440137052852,,redmond,46.27,1515915625451980968
2020-04-30 15:55:28 UTC,2298831805706404389,2273948227680076460,2268105406549066706,computers.peripherals.mouse,,17.34,1515915625451980968
2020-04-30 16:00:46 UTC,2298834473359246155,1515966223509127781,2268105439247860386,appliances.kitchen.microwave,ava,60.16,1515915625443630946
2020-04-30 16:03:24 UTC,2298835801049400249,1515966223509104145,2268105428166508982,electronics.smartphone,samsung,231.23,1515915625450943058
2020-04-30 16:03:30 UTC,2298835852681282495,1515966223509088665,2268105392741417672,appliances.environment.water_heater,midea,85.63,1515915625452818363
2020-04-30 16:07:48 UTC,2298838016631767159,1515966223509255514,2268105430162997728,electronics.audio.headphone,philips,32.38,1515915625452815830
2020-04-30 16:11:15 UTC,2298839754013147407,1515966223509283071,2268105441856717530,appliances.kitchen.kettle,,23.13,1515915625447943591
2020-04-30 16:12:54 UTC,2298840587924668753,1515966223509258135,2268105406934942686,stationery.paper,deluxe,6.69,1515915625452822272
2020-04-30 16:14:32 UTC,2298841407701385621,1515966223509088521,2268105428166508982,electronics.smartphone,samsung,115.72,1515915625452828088
2020-04-30 16:20:52 UTC,2298844591941485238,1515966223509127455,2268105402447037312,appliances.personal.scales,scarlett,11.55,1515915625452833696
2020-04-30 16:21:47 UTC,2298845057131741925,1515966223509104961,2268105407933187062,computers.peripherals.printer,hp,277.75,1515915625442421380
2020-04-30 16:30:29 UTC,2298849435171422320,1515966223509089263,2268105403822769052,,philips,32.38,1515915625451619039
2020-04-30 16:33:13 UTC,2298850806616555757,1515966223509130229,2268105426648170900,electronics.tablet,samsung,601.83,1515915625442152362
2020-04-30 16:34:35 UTC,2298851493719048490,1515966223509089820,2268105427528974760,,ava,2.29,1515915625449039098
2020-04-30 16:37:35 UTC,2298853010521981353,1515966223509115683,2374498914000592278,electronics.video.tv,sony,300.90,1515915625449571212
2020-04-30 16:38:16 UTC,2298853350914916807,1515966223509089868,2268105406549066706,computers.peripherals.mouse,delux,7.85,1515915625452801888
2020-04-30 16:38:16 UTC,2298853350914916807,1515966223509089868,2268105406549066706,computers.peripherals.mouse,delux,7.85,1515915625452801888
2020-04-30 16:41:19 UTC,2298854882800566860,1515966223509130594,2268105440917193414,appliances.kitchen.mixer,bosch,74.05,1515915625452836426
2020-04-30 16:45:36 UTC,2298857038739931936,2273948308202324468,2268105402447037312,appliances.personal.scales,ava,11.55,1515915625446699770
2020-04-30 16:53:44 UTC,2298861138714034357,1515966223509106168,2268105392070329020,appliances.environment.vacuum,samsung,69.42,1515915625452848556
2020-04-30 16:53:54 UTC,2298861219093676226,1515966223509089889,2268105406549066706,computers.peripherals.mouse,bloody,25.44,1515915625452809281
2020-04-30 16:57:52 UTC,2298863218308678020,2273948242175590517,2268105406691673046,computers.peripherals.mouse,,2.06,1515915625452807990
2020-04-30 16:57:52 UTC,2298863218308678020,2273948299746607566,2268105392632365766,appliances.environment.fan,ava,6.92,1515915625452807990
